Name,Brand,Category,Stability,Speed,Glide,Turn,Fade,URL,ThumbnailURL
CD,Discmania,Distance Drivers,Overstable,10.0,4.8,-0.9,2.0,https://infinitediscs.com/Discmania-CD-Craze,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_DSC00265.jpg
CD3,Discmania,Distance Drivers,Overstable,10.9,5.0,-1.0,2.1,https://infinitediscs.com/Discmania-CD3,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_7c51fe-723f.JPG
DD,Discmania,Distance Drivers,Overstable,11.1,4.9,0.0,2.1,https://infinitediscs.com/Discmania-DD-Hysteria,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_DSC00268.jpg
DD2,Discmania,Distance Drivers,Neutral,12.9,4.9,-2.0,2.0,https://infinitediscs.com/Discmania-DD2-Frenzy,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_DSC00273.jpg
DD3,Discmania,Distance Drivers,Overstable,12.0,5.0,-1.0,3.0,https://infinitediscs.com/Discmania-DD3,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_SLINEDD3.JPG
DDx,Discmania,Distance Drivers,Overstable,12.0,5.8,-1.1,2.0,https://infinitediscs.com/Discmania-DDx,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_c69c03-0e34.JPG
Enigma,Discmania,Distance Drivers,Overstable,12.1,5.1,-1.0,2.1,https://infinitediscs.com/Discmania-Evolution-Enigma,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_afbb43-a62b.JPG
Mentor,Discmania,Distance Drivers,Neutral,11.0,5.0,-1.7,2.1,https://infinitediscs.com/Discmania-Mentor,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_unnamed16.jpg
PD,Discmania,Distance Drivers,Overstable,9.9,4.1,0.0,3.0,https://infinitediscs.com/Discmania-PD-Freak,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_DSC09553.jpg
PD2,Discmania,Distance Drivers,Very Overstable,12.0,4.1,0.0,3.9,https://infinitediscs.com/Discmania-PD2-Chaos,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_DSC03857.jpg
PD3,Discmania,Distance Drivers,Very Overstable,11.0,3.0,-0.1,5.0,https://infinitediscs.com/Discmania-PD3,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_Infinite8_6.jpg
PDx,Discmania,Distance Drivers,Overstable,10.9,4.0,-0.1,3.0,https://infinitediscs.com/Discmania-PDx,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_asdf123_1.JPG
TD,Discmania,Distance Drivers,Understable,10.0,5.8,-1.8,1.1,https://infinitediscs.com/Discmania-TD-Rush,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_DSC00309.jpg
TD2 Fever,Discmania,Distance Drivers,Very Understable,10.0,5.1,-3.6,1.1,https://infinitediscs.com/Discmania-TD2-Fever,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_DSC00311.jpg
TDx,Discmania,Distance Drivers,Understable,9.0,5.0,-2.8,1.1,https://infinitediscs.com/Discmania-TDx,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_d69e5c-1267.JPG
CD2,Discmania,Control Drivers,Overstable,9.1,5.0,-1.0,2.0,https://infinitediscs.com/Discmania-CD2,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_3f874c-376a.JPG
Essence,Discmania,Control Drivers,Understable,8.0,6.0,-2.0,1.0,https://infinitediscs.com/Discmania-Essence,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_db39d5-81df.JPG
FD,Discmania,Control Drivers,Neutral,7.0,5.9,-1.0,1.1,https://infinitediscs.com/Discmania-FD,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_12235911-f169-47ca-9ca2-cfeb666748ffDSC08276.JPG
FD2,Discmania,Control Drivers,Overstable,7.0,4.1,0.0,2.1,https://infinitediscs.com/Discmania-FD2,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_402c32-4390.JPG
FD3,Discmania,Control Drivers,Overstable,9.0,4.1,0.0,3.0,https://infinitediscs.com/Discmania-FD3,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_DSC00279.jpg
Genius,Discmania,Control Drivers,Very Understable,7.2,5.0,-4.0,1.0,https://infinitediscs.com/Discmania-Genius,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_unnamed18.jpg
Instinct,Discmania,Control Drivers,Overstable,7.2,5.2,-0.1,2.0,https://infinitediscs.com/Discmania-Instinct,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_4e7e27-e707.JPG
Magician,Discmania,Control Drivers,Overstable,6.0,4.0,0.0,2.0,https://infinitediscs.com/Discmania-Magician,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_unnamed17.jpg
Gremlin GM,Discmania,Mid Range,Overstable,5.1,4.0,0.0,2.0,https://infinitediscs.com/Discmania-Gremlin-GM,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_7497e548-6801-4065-a048-f21294471e69Discmania GM S-Line.jpg
Maestro,Discmania,Mid Range,Overstable,4.0,2.9,-0.1,1.9,https://infinitediscs.com/Discmania-Maestro,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_unnamed15.jpg
MD,Discmania,Mid Range,Neutral,4.0,5.0,-0.1,0.1,https://infinitediscs.com/Discmania-MD,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_DSC03840.jpg
MD1,Discmania,Mid Range,Overstable,4.0,4.0,0.0,2.0,https://infinitediscs.com/Discmania-MD1,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_24293157-56c6-4b1d-bbfb-3ed086d86039Discmania MD1 S-Line.jpg
MD2,Discmania,Mid Range,Overstable,4.0,5.0,-0.2,1.9,https://infinitediscs.com/Discmania-MD2-Fiend,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_DSC00290.jpg
MD3,Discmania,Mid Range,Overstable,5.0,5.0,-0.1,2.4,https://infinitediscs.com/Discmania-MD3,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_549280-1e66.JPG
MD4,Discmania,Mid Range,Overstable,5.0,4.1,-0.1,2.9,https://infinitediscs.com/Discmania-MD4,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_asdfasdf_65.JPG
MD5,Discmania,Mid Range,Very Overstable,5.0,3.1,0.0,4.0,https://infinitediscs.com/Discmania-MD5,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_FirstRun.JPG
Method,Discmania,Mid Range,Overstable,5.0,5.0,0.0,2.9,https://infinitediscs.com/Discmania-Method,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_5d3eb8-d207.JPG
Origin,Discmania,Mid Range,Neutral,5.0,5.1,-1.1,1.0,https://infinitediscs.com/Discmania-Origin,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_716c59-1b0f.jpg
Link,Discmania,Putters,Overstable,2.0,3.1,0.0,1.0,https://infinitediscs.com/Discmania-Link,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_baf005-fcd0.JPG
P1,Discmania,Putters,Neutral,2.1,3.1,-0.1,0.1,https://infinitediscs.com/Discmania-P1,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_DSC00295.jpg
P1X,Discmania,Putters,Neutral,2.1,3.0,-0.1,0.5,https://infinitediscs.com/Discmania-P1X,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_DSC00298.jpg
P2,Discmania,Putters,Overstable,2.0,3.1,0.0,1.2,https://infinitediscs.com/Discmania-P2,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_bbcb65-8bbb.JPG
P3,Discmania,Putters,Overstable,3.0,4.3,0.0,2.7,https://infinitediscs.com/Discmania-P3,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_DSC00300.jpg
P3x,Discmania,Putters,Overstable,3.0,2.2,0.0,2.6,https://infinitediscs.com/Discmania-P3x,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_ppppppppp.JPG
Sensei,Discmania,Putters,Overstable,2.8,3.0,0.0,1.1,https://infinitediscs.com/Discmania-Sensei,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_unnamed14.jpg
Tactic,Discmania,Putters,Overstable,4.0,2.1,0.0,3.0,https://infinitediscs.com/Discmania-Tactic,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_exohard.JPG
